,user,Date,text,likes
0,@iamdanishkhan20,"Jan 10, 2023 · 7:54 PM UTC","Got scammed this evening at 7:01 PM on @Paytm. Someone unknown pretend to be the helper, but falsely took benefit.  I need lost recovery asap. @Paytmcare Transaction ID: 43727941543  #PayTMScam #CyberCell #cybersecurity #cybercrime #Paytm #PayTMscammar",2
1,@NAGARAJ64178672,"Jan 10, 2023 · 6:31 PM UTC","సొంత తండ్రి నే కుక్క ని చంపినట్లు చంపారని ఆపట్లో మన అన్నీ యా చెప్పాడని గోల చేసారు మల్లి అంబానీ సంక నాకి అంబానీ పర్సన్(Person) కి సీట్ ఎలా ఇచ్చాడు రా ,నీ అన్న కి అంబానీ ఏమైనా చూపించాడా ,లేక అన్నీ యా తండ్రి అంబానీ అని ఫిక్స్ అయ్యాడా @YSRCParty #kula gajji Gallu #paytm kukkalu",1
2,@NAGARAJ64178672,"Jan 10, 2023 · 6:22 PM UTC",మీరు ఏనుగు తో పొల్చుకోకండిరా నాయనా..మీరు కుక్క లాతో సమానం.కుక్క వెడవ్వలారా  #paytm Kukka lu #Ycp Kukka lu,21
3,@ichetan,"Jan 10, 2023 · 5:44 PM UTC",Time for @Mastercard and @visa to leverage their relationship with Banks / FIs and compete with #PhonePe #Paytm @HDFC_Bank Hope #Payzapp moves swiftly - Now or Never.,0
4,@MarketSandesh,"Jan 10, 2023 · 5:30 PM UTC","📌 #Paytm recorded a 330% jump in loan distribution #business  to ₹3,665 cr in Dec'22  📌#HDFC Capital raised $376mn for its affordable #housing  fund.  #pvrcinemas  opened in #Jaipur #Bengaluru &  #Gurugram  ➤Follow➤@WazirSecurities #WazirsConsulting https://wazirs.in/wazirs-consulting-pvt-ltd/",0
5,@chanakyaamm,"Jan 10, 2023 · 5:22 PM UTC",PAYTM welcomes Surinder Chawla as MD and CEO of its associate Paytm Payments Bank. After receiving the RBI approval for his appointment.   #news #PAYTM #India,0
6,@ashishgulati222,"Jan 10, 2023 · 5:18 PM UTC",#Paytm #paytmkaro #RBI #ministry of finance #rbi governer  i am unable to operate my account. It is showing in my app of paytm as a new customer account. How can one mobile number have two accounts,0
7,@__Kaala,"Jan 10, 2023 · 4:56 PM UTC",@PMOIndia @narendramodi @nsitharaman @PiyushGoyal this is your Corporate Governance  Daylight Loot of Aam Investors of India & Government spineless Even no journalist in business media had guts to raise the voice  Many times warned earlier too  entire #Paytm is huge fraud,0
8,@ssameer_,"Jan 10, 2023 · 4:53 PM UTC",People n cricketers need to accept that what shami  did was right that was not mankad it was just tricky runout by a bowler ...stop praising Rohit for bad that demolishing a brilliant rule of cricket   #RohitSharma #shami #IndiaVsSriLanka #Paytm #ViratKohli #shanaka #ODICricket #,4
9,@SharePowerof,"Jan 10, 2023 · 3:29 PM UTC",#mamaearth #Paytm #nykaa #policybazaar  P/E ratio of mamaearth is x1714,0
